,position,rate,animal
0,Hitrate_POS3,0.8,Agasse
1,Hitrate_POS3,0.2692307692,Agasse
2,Hitrate_POS3,0.5806451613,Agasse
3,Hitrate_POS3,0.6206896552,Agasse
4,Hitrate_POS3,0.4117647059,Agasse
5,Hitrate_POS3,0.5714285714,Agasse
6,Hitrate_POS3,0.2307692308,Agasse
7,Hitrate_POS3,0.6153846154,Agasse
8,Hitrate_POS3,0.4230769231,Agasse
9,Hitrate_POS3,0.4782608696,Agasse
10,Hitrate_POS3,0.5,Agasse
11,Hitrate_POS3,0.32,Agasse
12,Hitrate_POS3,0.44,Agasse
13,Hitrate_POS3,0.3703703704,Agasse
14,Hitrate_POS3,0.3,Agasse
15,Hitrate_POS3,0.1666666667,Agasse
16,Hitrate_POS3,0.4285714286,Agasse
17,Hitrate_POS3,0.3,Agasse
18,Hitrate_POS3,0.619047619,Agasse
19,Hitrate_POS3,0.3157894737,Agasse
20,Hitrate_POS3,0.4411764706,Agasse
21,Hitrate_POS3,0.5185185185,Agasse
22,Hitrate_POS3,0.5357142857,Agasse
23,Hitrate_POS3,0.4,Agasse
24,Hitrate_POS3,0.2941176471,Agasse
25,Hitrate_POS3,0.25,Agasse
26,Hitrate_POS3,0.2105263158,Agasse
27,Hitrate_POS3,0.7419354839,Agasse
28,Hitrate_POS3,0.2592592593,Agasse
29,Hitrate_POS3,0.3,Agasse
30,Hitrate_POS3,0.4444444444,Agasse
31,Hitrate_POS3,0.1818181818,Agasse
32,Hitrate_POS3,0.4545454545,Agasse
33,Hitrate_POS3,0.4,Agasse
34,Hitrate_POS3,0.3333333333,Agasse
35,Hitrate_POS3,0.28,Agasse
36,Hitrate_POS3,0.3333333333,Agasse
37,Hitrate_POS3,0.4285714286,Agasse
38,Hitrate_POS3,0.0625,Agasse
39,Hitrate_POS3,0.4516129032,Agasse
40,Hitrate_POS3,0.4285714286,Agasse
41,Hitrate_POS3,0.652173913,Agasse
42,Hitrate_POS3,0.25,Agasse
43,Hitrate_POS3,0.4285714286,Agasse
44,Hitrate_POS3,0.7272727273,Agasse
45,Hitrate_POS3,0.3448275862,Agasse
46,Hitrate_POS3,0.3333333333,Agasse
47,Hitrate_POS4,0.65,Agasse
48,Hitrate_POS4,0.2820512821,Agasse
49,Hitrate_POS4,0.3636363636,Agasse
50,Hitrate_POS4,0.2777777778,Agasse
51,Hitrate_POS4,0.2391304348,Agasse
52,Hitrate_POS4,0.7272727273,Agasse
53,Hitrate_POS4,0.5405405405,Agasse
54,Hitrate_POS4,0.4827586207,Agasse
55,Hitrate_POS4,0.775,Agasse
56,Hitrate_POS4,0.625,Agasse
57,Hitrate_POS4,0.6296296296,Agasse
58,Hitrate_POS4,0.4651162791,Agasse
59,Hitrate_POS4,0.44,Agasse
60,Hitrate_POS4,0.3421052632,Agasse
61,Hitrate_POS4,0.4523809524,Agasse
62,Hitrate_POS4,0.2444444444,Agasse
